Filter_obj_type_1,Filter_obj_type_2,Filter_obj_type_3,NoFilter_obj_type_1,NoFilter_obj_type_2,NoFilter_obj_type_3,E_laser,time
56614.60664196715,205.67078478579174,0.00030967631867251215,39089.47733704953,52.463003504619905,0.000324355981263409,1.0,11.503809060404699
42237.49557175911,183.82756411392728,0.00031867303151448195,32641.6681069968,82.78364475614853,0.00033902834865886296,1.1,11.04770016434292
31399.690447144625,163.93884977118347,0.00033929151588068206,28292.61457673296,110.66125154487042,0.0003479937674154522,1.2,11.191639184330901
33431.39444391956,159.30686678654064,0.00028730554527849446,27541.871764471987,100.70800962863174,0.00030895917189834574,1.3,11.236263161773483
20688.129510156734,127.25743660002206,0.00028092509802618614,19786.90706111817,100.49414295030323,0.0002866459273015784,1.4,11.211917453693847
31554.02357666462,157.45707476045988,0.0002952152721896279,29524.325115610834,131.56632108041867,0.00030072233373963327,1.5,11.179375261565049
40830.02984238039,163.36717574781017,0.00029194931747267223,38713.361832137394,145.52167793057282,0.0002959004304815891,1.6,10.952031431657572
32182.864236825317,145.85291128687294,0.00027068782112652347,31546.13481771081,139.1288446204071,0.00027247002715985366,1.7,10.973687706763545
35992.49064649037,157.36359205153258,0.00026215469602244976,34660.75845649461,148.97836498183256,0.0002660991535670836,1.8,10.133295969230433
34333.40769626452,152.30695471091457,0.00023290263286005042,31479.46164045021,137.3774855782646,0.00024231225280212535,1.9,10.280833008388678
20857.01801577835,130.46574555063978,0.0002236087518915914,20772.665737039533,129.66038041194344,0.00022401504358534398,2.0,10.30092462580651
35823.37641465972,159.57240284209405,0.0001785634931301619,27538.912402383907,111.40150339053184,0.00019941830563352089,2.1,10.363690880686045
30336.150087837123,152.23178608430067,0.00015860764248020162,23088.208974145175,93.20885302986065,0.00017710586134241684,2.2,10.381109283305705
25207.972372245476,139.07923914277808,0.00013814655586355908,19111.832760873825,73.8693385938391,0.00015593478859468057,2.3,10.363897064514457
38877.6624511421,174.14890501160107,0.00021495680350496965,38623.909537173204,172.93843108259563,0.00021556821470321717,2.4,10.414190688480934
30425.634791705856,153.86207649575238,0.0001591980249154964,25013.577321243145,121.36625881308629,0.00017389699379242947,2.5,10.531216604510943
32996.25898507396,155.87593068628792,0.00014164091848603693,25409.197671858143,106.15942829985124,0.00015783860467543138,2.6,11.068732068501413
17667.63154427416,113.60938867538619,0.00012590478919046133,14241.213917707692,89.73824019869059,0.00014224918425877897,2.7,11.013016932271421
12963.742813175184,89.4942620953563,0.00011946211018373893,11308.897575806215,77.21919229632479,0.0001300059460660072,2.8,11.154445767216384
25544.031645175193,133.20394743007103,0.00011457824246201305,19050.654948135307,88.69218322332028,0.00013186102112680518,2.9,11.325572739851971
19082.409728660434,108.56901917829299,9.203598955628503e-05,14593.151149811627,49.50813177004355,0.00010654070905160928,3.0,11.349503389062981
